published_papers
アクション名,アクションタイプ,類似業績マージ優先度,ID,タイトル(日本語),タイトル(英語),著者(日本語),著者(英語),担当区分,概要(日本語),概要(英語),出版者・発行元(日本語),出版者・発行元(英語),出版年月,誌名(日本語),誌名(英語),巻,号,開始ページ,終了ページ,記述言語,査読の有無,招待の有無,掲載種別,国際・国内誌,国際共著,DOI,ISSN,eISSN,URL,URL2,主要な業績かどうか,公開の有無
insert,merge,null,49703024,null,"Shielding Pt/γ-Mo<sub>2</sub>N by inert nano-overlays enables stable H<sub>2</sub> production",null,"[Zirui Gao,Aowen Li,Xingwu Liu,Mi Peng,Shixiang Yu,Maolin Wang,Yuzhen Ge,Chengyu Li,Tie Wang,Zhaohua Wang,Wu Zhou,Ding Ma]",null,null,"The use of reactive supports to disperse metal species is crucial for constructing highly efficient interfacial catalysts, by tuning the competitive reactant adsorption-activation pattern in supported metal catalysts into a non-competitive mechanism1, 2-3. However, these reactive supports are prone to deterioration during catalysis, limiting the lifespan of the catalyst and their potential practical applications4. New strategies are needed to simultaneously protect reactive supports and surface metal species without compromising the inherent catalytic performance. Here we report a new strategy to augment the structural stability of highly active interfacial catalysts by using inert nano-overlays to partially shield and partition the surface of the reactive support. Specifically, we demonstrate that atomically dispersed inert oxide nano-overlays on a highly active Pt/gamma-Mo2N catalyst can block the redundant surface sites of gamma-Mo2N responsible for surface oxidation of this reactive support and the resulting deactivation. This strategy yields an efficient and highly durable catalyst for hydrogen production by methanol-reforming reaction with a mere 0.26 wt% Pt loading, exhibiting a record-high turnover number, to our knowledge, of 15,300,000 and a notable apparent turnover frequency of 24,500molH2molmetal-1h-1\documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\mathrm{24,500}\,{\text{mol } }_{ { {\rm{H } } }_{2 } }\,{\text{mol } }_{ { \rm{metal } } }<^>{-1}\,{\text{h } }<^>{-1}$$\end{document}. This innovative approach showcases the prospects of reducing noble metal consumption and boosting longevity, which could be applied to design effective and stable heterogeneous catalysts.",null,"NATURE PORTFOLIO",2025-02-12,null,NATURE,null,null,null,null,eng,null,null,scientific_journal,null,null,10.1038/s41586-024-08483-w,0028-0836,1476-4687,null,null,false,disclosed
insert,merge,null,49703025,null,"A Highly Active Molybdenum Carbide Catalyst with Dynamic Carbon Flux for Reverse Water-Gas Shift Reaction",null,"[Mengtao Zhang,Yuchen Zhu,Jie Yan,Junzhong Xie,Tao Yu,Mi Peng,Jiayun Zhao,Yao Xu,Aowen Li,Chunjiang Jia,Lin He,Meng Wang,Wu Zhou,Rongming Wang,Hong Jiang,Chuan Shi,Jose Rodriguez,Ding Ma]",null,null,"Molybdenum carbide has been reported as an efficient and stable catalyst for reverse water-gas shift (RWGS) reaction. The conventional understanding of the mechanism suggests domination of the surface phenomena, with only surface or subsurface layers partaking in the catalytic cycle. In this study, we presented a highly active MoC catalyst from carburization process, which showed a mass-specific reaction rate over 260 mu m olCO2/gcat/s ${ { \rm { o } }{ { \rm { l } } }_{ { \rm { C } }{ { \rm { O } } }_{ { \rm { 2 } } } }{\rm { / } }{ { \rm { g } } }_{ { \rm { cat } } }{\rm { /s } } }$ with dynamic carbon flux in the bulk phase of the catalyst. Through Isotopic Temperature-Programmed Reaction (ITPR) analysis and Environmental Transmission Electron Microscopy (ETEM), we discerned dynamic carbon flow circulating between the alpha-MoC bulk phase and the gas phase reactants under the RWGS reaction atmosphere. This circulation, essential to maintaining the structural stability of the metastable alpha-MoC and its ultra-high reactivity, is accompanied by thorough carbon component exchange among the bulk, the surface and the gas-phase reactants during the reaction process.",null,"WILEY-V C H VERLAG GMBH",2025-02-03,null,"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION",64,6,null,null,eng,null,null,scientific_journal,null,null,10.1002/anie.202418645,null,1521-3773,null,null,false,disclosed
insert,merge,null,49703029,null,"Low-voltage single-atom electron microscopy with carbon-based nanomaterials",null,"[Aowen Li,Ang Li,Wu Zhou]",null,null,"The properties of materials are strongly correlated with their atomic scale structures. Achieving a comprehensive understanding of the atomic-scale structure-property relationship requires advancements of imaging and spectroscopy techniques. Aberration-corrected scanning transmission electron microscopy (STEM) has seen rapid development over the past decades and is now routinely employed for atomic-scale characterization. However, quantitative STEM imaging and spectroscopy analysis at the single-atom level is challenging due to the extremely weak signals generated from individual atom, thus imposing stringent requirements for analysis sensitivity. This review discusses the development and application of low-voltage STEM techniques with single-atom sensitivity, primarily based on recent research presented on an invited talk at the 5th 2D23 SALVE Symposium, including annular dark-field (ADF) imaging, functional imaging and electron energy-loss spectroscopy (EELS) analysis. Carbon-based nanomaterials were chosen as model systems for demonstrating the capabilities of single-atom STEM imaging and EELS analysis, due to their structural stability under low accelerating voltages and their rich physical and chemical properties. Moreover, this review summarizes recent advancements and applications of low-voltage single-atom STEM imaging and spectroscopy in the study of functional materials and discusses prospects for future developments.",null,"PERGAMON-ELSEVIER SCIENCE LTD",2024-11,null,MICRON,186,null,null,null,eng,null,null,scientific_journal,null,null,10.1016/j.micron.2024.103706,0968-4328,1878-4291,null,null,false,disclosed
insert,merge,null,49703028,null,"Nitrogen-doped amorphous monolayer carbon ( oct , 2024 , 10.1038/s41586-024-08147-9 )",null,"[Xiuhui Bai,Pengfei Hu,Ang Li,Youwei Zhang,Aowen Li,Guangjie Zhang,Yufeng Xue,Tianxing Jiang,Zezhou Wang,Hanke Cui,Jianxin Kang,Hewei Zhao,Lin Gu,Wu Zhou,Li-Min Liu,Xiaohui Qiu,Lin Guo]",null,null,null,null,"NATURE PORTFOLIO",2024-10-31,null,NATURE,634,8036,E16,E16,eng,null,null,null,null,null,10.1038/s41586-024-08147-9,0028-0836,1476-4687,null,null,false,disclosed
insert,merge,null,49703027,null,"Nitrogen-doped amorphous monolayer carbon",null,"[Xiuhui Bai,Pengfei Hu,Ang Li,Youwei Zhang,Aowen Li,Guangjie Zhang,Yufeng Xue,Tianxing Jiang,Zezhou Wang,Hanke Cui,Jianxin Kang,Hewei Zhao,Lin Gu,Wu Zhou,Li-Min Liu,Xiaohui Qiu,Lin Guo]",null,null,"Monoatomic-layered carbon materials, such as graphene(1) and amorphous monolayer carbon(2,3), have stimulated intense fundamental and applied research owing to their unprecedented physical properties and a wide range of promising applications(4,5). So far, such materials have mainly been produced by chemical vapour deposition, which typically requires stringent reaction conditions compared to solution-phase synthesis. Herein, we demonstrate the solution preparation of free-standing nitrogen-doped amorphous monolayer carbon with mixed five-, six- and seven-membered (5-6-7-membered) rings through the polymerization of pyrrole within the confined interlayer cavity of a removable layered-double-hydroxide template. Structural characterizations and first-principles calculations suggest that the nitrogen-doped amorphous monolayer carbon was formed by radical polymerization of pyrrole at the alpha, beta and N sites subjected to confinement of the reaction space, which enables bond rearrangements through the Stone-Wales transformation. The spatial confinement inhibits the C-C bond rotation and chain entanglement during polymerization, resulting in an atom-thick continuous amorphous layer with an in-plane pi-conjugation electronic structure. The spatially confined radical polymerization using solid templates and ion exchange strategy demonstrates potential as a universal synthesis approach for obtaining two-dimensional covalent networks, as exemplified by the successful synthesis of monolayers of polythiophene and polycarbazole.",null,"NATURE PORTFOLIO",2024-10-03,null,NATURE,634,8032,80,+,eng,null,null,scientific_journal,null,null,10.1038/s41586-024-07958-0,0028-0836,1476-4687,null,null,false,disclosed
insert,merge,null,49703026,null,"Systematic Absences of Optical Phonon Modes in Phonon Dispersion Measured by Electron Microscopy",null,"[Aowen Li,Paul M. Zeiger,Zuxian He,Mingquan Xu,Stephen J. Pennycook,Jan Rusz,Wu Zhou]",null,null,"Phonon dispersion relations are widely used to elucidate the vibrational properties of materials. As an emerging technique, momentum-resolved vibrational spectroscopy in scanning transmission electron microscopy offers an unparalleled approach to explore q-dependent phonon behavior at local structures. In this study, we systematically investigate the phonon dispersion of monolayer graphene across several Brillouin zones (BZs) using momentum-resolved vibrational spectroscopy and find that the optical phonon signals vanish at the Gamma points with indices (hk0) satisfying h & thorn; 2k 1/4 3n (n denoted integers). Theoretical analysis reveals that the observed phenomena arise from the complete destructive interference of the scattered waves from different basis atoms. This observation, corroborated by the study of diamond, should be a general characteristic of materials composed of symmetrically equivalent pairs of the same elements. Moreover, our results emphasize the importance of multiple scattering in interpreting the vibrational signals in bulk materials. We demonstrate that the systematic absences and dynamic effects, which have not been much appreciated before, offer new insights into the experimental assessment of local vibrational properties of materials.",null,"AMER PHYSICAL SOC",2024-07-22,null,"PHYSICAL REVIEW LETTERS",133,4,null,null,eng,null,null,scientific_journal,null,null,10.1103/PhysRevLett.133.046101,0031-9007,1079-7114,null,null,false,disclosed
insert,merge,null,49703031,null,"Ligand-confined two-dimensional rhodium hydride boosts hydrogen evolution",null,"[Jinchang Fan,Yunlong Zhang,Wei Liu,Mingrun Li,Yafeng Cai,Qinqin Ji,Zhenchao Zhao,Guangjin Hou,Aowen Li,Wu Zhou,Liang Yu,Dehui Deng]",null,null,"Transition metal hydrides hold great potential as high-efficiency cat-alysts for hydrogen-involving reactions, benefiting from finely mod-ulable electronic states and reaction paths by interstitial hydrogen. But their severe thermodynamic instability brings challenges for their preparation and utilization under ambient conditions. Herein, we report a ligand confinement effect to break thermodynamic re-striction and for the first time realize the construction of ambient -stable two-dimensional (2D) rhodium hydride (RhH) nanosheets. By using electron-attracting n-butylamino ligands to enhance the interaction between Rh and interstitial hydrogen, the formation of 2D RhH becomes thermodynamically permissible. It exhibits a supe-rior hydrogen evolution reaction (HER) activity with a lower overpo-tential and 3.1 times and 1.4 times higher mass activity than 2D Rh catalyst and commercial Pt/C catalyst, respectively. Theoretical calculations reveal the significant effect of interstitial H atoms and surface ligands in boosting the HER activity of Rh, by moderately weakening hydrogen adsorption and accelerating H2 desorption via a ligand-mediated H-transfer mechanism.",null,"CELL PRESS",2023-11-01,null,MATTER,6,11,3877,3888,eng,null,null,scientific_journal,null,null,10.1016/j.matt.2023.09.003,2590-2393,2590-2385,null,null,false,disclosed
insert,merge,null,49703032,null,"Probing a Defect-Site-Specific Electronic Orbital in Graphene with Single-Atom Sensitivity",null,"[Mingquan Xu,Aowen Li,Stephen J. Pennycook,Shang-Peng Gao,Wu Zhou]",null,null,"Visualization of individual electronic states ascribed to specific unoccupied orbitals at the atomic scale can reveal fundamental information about chemical bonding, but it is challenging since bonding often results in only subtle variations in the whole density of states. Here, we utilize atomic-resolution energy-loss near-edge fine structure (ELNES) spectroscopy to map out the electronic states attributed to specific unoccupied p(z) orbital around a fourfold coordinated silicon point defect in graphene, which is further supported by theoretical calculations. Our results illustrate the power of atomic-resolution ELNES towards the probing of defect-site-specific electronic orbitals in monolayer crystals, providing insights into understanding the effect of chemical bonding on the local properties of defects in solids.",null,"AMER PHYSICAL SOC",2023-10-31,null,"PHYSICAL REVIEW LETTERS",131,18,null,null,eng,null,null,scientific_journal,null,null,10.1103/PhysRevLett.131.186202,0031-9007,1079-7114,null,null,false,disclosed
insert,merge,null,49703030,null,"Carbonate Hydrogenated to Formate in the Aqueous Phase over Nickel/TiO<sub>2</sub> Catalysts",null,"[Xiaochen Zhang,Aowen Li,Haoyi Tang,Yao Xu,Xuetao Qin,Zheng Jiang,Qiaolin Yu,Wu Zhou,Liwei Chen,Meng Wang,Xi Liu,Ding Ma]",null,null,"Carbonate hydrogenation to formate is a promising route to convert captured carbon dioxide into valuable chemicals, thus reducing carbon emissions and creating a revenue return. Developing inexpensive catalysts with high activity, selectivity, and stability remains challenging. We report a supported non-noble metal catalyst, Ni/TiO2, with great selectivity over 96% and excellent stability in catalyzing the conversion of carbonate into formate in aqueous solution. Ni-0 and Ni2+ species are both observed in Ni/TiO2 catalysts, and the synergistic effect of these two Ni components leads to high activity and high selectivity of carbonate hydrogenation to formate.",null,"WILEY-V C H VERLAG GMBH",2023-10-09,null,"ANGEWANDTE CHEMIE-INTERNATIONAL EDITION",62,41,null,null,eng,null,null,scientific_journal,null,null,10.1002/anie.202307061,1433-7851,1521-3773,null,null,false,disclosed
insert,merge,null,49703033,null,"Single-atom vibrational spectroscopy with chemical-bonding sensitivity",null,"[Mingquan Xu,De-Liang Bao,Aowen Li,Meng Gao,Dongqian Meng,Ang Li,Shixuan Du,Gang Su,Stephen J. Pennycook,Sokrates T. Pantelides,Wu Zhou]",null,null,"Correlation of lattice vibrational properties with local atomic configurations in materials is essential for elucidating functionalities that involve phonon transport in solids. Recent developments in vibrational spectroscopy in a scanning transmission electron microscope have enabled direct measurements of local phonon modes at defects and interfaces by combining high spatial and energy resolution. However, pushing the ultimate limit of vibrational spectroscopy in a scanning transmission electron microscope to reveal the impact of chemical bonding on local phonon modes requires extreme sensitivity of the experiment at the chemical-bond level. Here we demonstrate that, with improved instrument stability and sensitivity, the specific vibrational signals of the same substitutional impurity and the neighbouring carbon atoms in monolayer graphene with different chemical-bonding configurations are clearly resolved, complementary with density functional theory calculations. The present work opens the door to the direct observation of local phonon modes with chemical-bonding sensitivity, and provides more insights into the defect-induced physics in graphene. Vibrational spectroscopy now allows for the exploration of lattice vibrational properties at the chemical-bond level, revealing the impact of chemical-bonding configurations and atomic mass on local phonon modes in graphene with a new level of sensitivity.",null,"NATURE PORTFOLIO",2023-05,null,"NATURE MATERIALS",22,5,612,+,eng,null,null,scientific_journal,null,null,10.1038/s41563-023-01500-9,1476-1122,1476-4660,null,null,false,disclosed
